danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.518,0.907,5,-3.732,1,0.0343,0.00221,1.15E-05,0.0838,0.961,140.982,audio_features,4GhtDORJiSRYxj6M1bv0vX,spotify:track:4GhtDORJiSRYxj6M1bv0vX,https://api.spotify.com/v1/tracks/4GhtDORJiSRYxj6M1bv0vX,https://api.spotify.com/v1/audio-analysis/4GhtDORJiSRYxj6M1bv0vX,179013,4
0.273,0.538,0,-5.218,0,0.049,0.211,0.00E+00,0.13,0.223,87.427,audio_features,06hpxKggHmCHMKbe2K4bKI,spotify:track:06hpxKggHmCHMKbe2K4bKI,https://api.spotify.com/v1/tracks/06hpxKggHmCHMKbe2K4bKI,https://api.spotify.com/v1/audio-analysis/06hpxKggHmCHMKbe2K4bKI,168347,4
0.877,0.47,7,-9.313,0,0.074,0.344,4.81E-03,0.119,0.113,105.01,audio_features,4j1UDKKEWqo5impVUBmMvC,spotify:track:4j1UDKKEWqo5impVUBmMvC,https://api.spotify.com/v1/tracks/4j1UDKKEWqo5impVUBmMvC,https://api.spotify.com/v1/audio-analysis/4j1UDKKEWqo5impVUBmMvC,146286,4
0.604,0.34,3,-15.89,1,0.0361,0.607,4.65E-02,0.102,0.694,114.05,audio_features,3V2SNCBu9A62TmNeWhiygE,spotify:track:3V2SNCBu9A62TmNeWhiygE,https://api.spotify.com/v1/tracks/3V2SNCBu9A62TmNeWhiygE,https://api.spotify.com/v1/audio-analysis/3V2SNCBu9A62TmNeWhiygE,127360,4
0.61,0.508,10,-7.9,1,0.0386,0.664,3.22E-01,0.0857,0.071,120.007,audio_features,5rZRM3Lf4eGsMpCDcOJ87C,spotify:track:5rZRM3Lf4eGsMpCDcOJ87C,https://api.spotify.com/v1/tracks/5rZRM3Lf4eGsMpCDcOJ87C,https://api.spotify.com/v1/audio-analysis/5rZRM3Lf4eGsMpCDcOJ87C,244347,4
0.155,0.273,11,-13.273,1,0.0319,0.661,6.11E-01,0.0992,0.0815,82.604,audio_features,4UQazRVetaFi1TDKUojZFg,spotify:track:4UQazRVetaFi1TDKUojZFg,https://api.spotify.com/v1/tracks/4UQazRVetaFi1TDKUojZFg,https://api.spotify.com/v1/audio-analysis/4UQazRVetaFi1TDKUojZFg,214427,4
0.679,0.564,10,-11.247,1,0.0267,0.529,7.09E-02,0.275,0.926,134.586,audio_features,0FrCX7P2C2hcRTcuhjEvK4,spotify:track:0FrCX7P2C2hcRTcuhjEvK4,https://api.spotify.com/v1/tracks/0FrCX7P2C2hcRTcuhjEvK4,https://api.spotify.com/v1/audio-analysis/0FrCX7P2C2hcRTcuhjEvK4,303307,4
0.666,0.296,1,-8.219,1,0.0286,0.533,2.50E-01,0.0768,0.15,130.047,audio_features,42YrWn7KYjhJ2GfjTJ3HSY,spotify:track:42YrWn7KYjhJ2GfjTJ3HSY,https://api.spotify.com/v1/tracks/42YrWn7KYjhJ2GfjTJ3HSY,https://api.spotify.com/v1/audio-analysis/42YrWn7KYjhJ2GfjTJ3HSY,224714,3
0.571,0.263,0,-13.22,1,0.0317,0.6,2.44E-03,0.146,0.104,111.929,audio_features,2DFD0Zga3HBwMHIpGnsZJz,spotify:track:2DFD0Zga3HBwMHIpGnsZJz,https://api.spotify.com/v1/tracks/2DFD0Zga3HBwMHIpGnsZJz,https://api.spotify.com/v1/audio-analysis/2DFD0Zga3HBwMHIpGnsZJz,258507,3
0.361,0.349,6,-8.341,0,0.0548,0.155,0.00E+00,0.116,0.351,78.81,audio_features,6xWXL3EQYuGBqwRBGy8bAp,spotify:track:6xWXL3EQYuGBqwRBGy8bAp,https://api.spotify.com/v1/tracks/6xWXL3EQYuGBqwRBGy8bAp,https://api.spotify.com/v1/audio-analysis/6xWXL3EQYuGBqwRBGy8bAp,229658,4
0.33,0.167,8,-11.635,1,0.0311,0.731,3.08E-05,0.101,0.202,164.954,audio_features,1dQOMZz9SkT7ig0w65lQWC,spotify:track:1dQOMZz9SkT7ig0w65lQWC,https://api.spotify.com/v1/tracks/1dQOMZz9SkT7ig0w65lQWC,https://api.spotify.com/v1/audio-analysis/1dQOMZz9SkT7ig0w65lQWC,245533,3
0.517,0.256,11,-12.947,0,0.03,0.843,3.05E-01,0.0821,0.162,129.878,audio_features,6wL2rgm1Gf60jgZli5YJqs,spotify:track:6wL2rgm1Gf60jgZli5YJqs,https://api.spotify.com/v1/tracks/6wL2rgm1Gf60jgZli5YJqs,https://api.spotify.com/v1/audio-analysis/6wL2rgm1Gf60jgZli5YJqs,222000,4
0.187,0.622,2,-12.167,0,0.0776,0.345,3.57E-01,0.108,0.0865,184.134,audio_features,6UTJFpxupU6LtSOMKTZUJN,spotify:track:6UTJFpxupU6LtSOMKTZUJN,https://api.spotify.com/v1/tracks/6UTJFpxupU6LtSOMKTZUJN,https://api.spotify.com/v1/audio-analysis/6UTJFpxupU6LtSOMKTZUJN,260870,4
0.271,0.382,0,-7.936,1,0.0419,0.424,9.21E-02,0.0872,0.036,145.902,audio_features,4zfTTwE7QDS4tVAYtJV8WH,spotify:track:4zfTTwE7QDS4tVAYtJV8WH,https://api.spotify.com/v1/tracks/4zfTTwE7QDS4tVAYtJV8WH,https://api.spotify.com/v1/audio-analysis/4zfTTwE7QDS4tVAYtJV8WH,199330,4
0.554,0.635,9,-4.988,1,0.0293,0.126,1.51E-04,0.0765,0.354,70.956,audio_features,5Ubqbm1quUOpXy0cRMOVmP,spotify:track:5Ubqbm1quUOpXy0cRMOVmP,https://api.spotify.com/v1/tracks/5Ubqbm1quUOpXy0cRMOVmP,https://api.spotify.com/v1/audio-analysis/5Ubqbm1quUOpXy0cRMOVmP,127410,4
0.713,0.297,5,-10.508,1,0.0344,0.718,5.00E-04,0.0833,0.228,112.807,audio_features,0C2PTGRyAe4WxnMzqE2k1H,spotify:track:0C2PTGRyAe4WxnMzqE2k1H,https://api.spotify.com/v1/tracks/0C2PTGRyAe4WxnMzqE2k1H,https://api.spotify.com/v1/audio-analysis/0C2PTGRyAe4WxnMzqE2k1H,166442,4
0.873,0.431,9,-14.56,1,0.0965,0.615,2.76E-02,0.104,0.749,135.078,audio_features,5141H4ftZMaTJIuMOhJ5J3,spotify:track:5141H4ftZMaTJIuMOhJ5J3,https://api.spotify.com/v1/tracks/5141H4ftZMaTJIuMOhJ5J3,https://api.spotify.com/v1/audio-analysis/5141H4ftZMaTJIuMOhJ5J3,219000,4
