episode,song,artist,spotify_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_secs,time_signature
"Euphoria S1E6 - ""The Next Episode""",Smalltown Boy,Bronski Beat,0FrCX7P2C2hcRTcuhjEvK4,0.679,0.564,"A♯,B♭",-11.247,TRUE,0.0267,0.529,7.09E-02,0.275,0.926,134.586,303,4
"Euphoria S1E3 - ""Made You Look""",Work,Charlotte Day Wilson,42YrWn7KYjhJ2GfjTJ3HSY,0.666,0.296,"C♯,D♭",-8.219,TRUE,0.0286,0.533,2.50E-01,0.0768,0.15,130.047,225,3
"Sex Education S1E2 - ""Episode 2""",F**K All the Perfect People,"Chip Taylor, The New Ukrainians",2DFD0Zga3HBwMHIpGnsZJz,0.571,0.263,C,-13.22,TRUE,0.0317,0.6,2.44E-03,0.146,0.104,111.929,259,3
"All American S1E10 - ""m.A.A.d. city""",I'd Never Give You Pain (feat. K,"Cre8v Media Group, LLC",6xWXL3EQYuGBqwRBGy8bAp,0.361,0.349,"F♯,G♭",-8.341,FALSE,0.0548,0.155,0.00E+00,0.116,0.351,78.81,230,4
"The Umbrella Academy S1E4 - ""Man on the Moon""",This Year's Love,David Gray,1dQOMZz9SkT7ig0w65lQWC,0.33,0.167,"G♯,A♭",-11.635,TRUE,0.0311,0.731,3.08E-05,0.101,0.202,164.954,246,3
"Dark S2E4 - ""Die Reisenden""",The World Retreats,David O'Dowda,6wL2rgm1Gf60jgZli5YJqs,0.517,0.256,B,-12.947,FALSE,0.03,0.843,3.05E-01,0.0821,0.162,129.878,222,4
"Lucifer S4E4 - ""All About Eve""",Hypnos,"Delhia De France, Robot Koch",6UTJFpxupU6LtSOMKTZUJN,0.187,0.622,D,-12.167,FALSE,0.0776,0.345,3.57E-01,0.108,0.0865,184.134,261,4
"Grey's Anatomy S15E19 - ""Silent All These Years""",Everywhere Ghosts Hide (feat. UN,Erin McCarley,4zfTTwE7QDS4tVAYtJV8WH,0.271,0.382,C,-7.936,TRUE,0.0419,0.424,9.21E-02,0.0872,0.036,145.902,199,4
"Sex Education S1E1 - ""Episode 1""",I’m Coming Clean,Ezra Furman,5Ubqbm1quUOpXy0cRMOVmP,0.554,0.635,A,-4.988,TRUE,0.0293,0.126,1.51E-04,0.0765,0.354,70.956,127,4
"Sex Education S1E3 - ""Episode 3""",Every Feeling,Ezra Furman,0C2PTGRyAe4WxnMzqE2k1H,0.713,0.297,F,-10.508,TRUE,0.0344,0.718,5.00E-04,0.0833,0.228,112.807,166,4
