episode,link,air_date,song,artist,spotify_id
"Game of Thrones S8E3 - ""The Long Night""",https://www.tunefind.com/show/game-of-thrones/season-8/81206,2019-04-28,The Night King,Ramin Djawadi,1aDklx1GaBqHFowCzz63wU
"Euphoria S1E6 - ""The Next Episode""",https://www.tunefind.com/show/euphoria/season-1/86211,2019-07-21,Love Surrounds You,Ramsey,3GqZnm8ONy68sMqTlxFrvk
"Dark S2E7 - ""Der weiße Teufel""",https://www.tunefind.com/show/dark/season-2/84968,2019-06-21,God's Whisper,Raury,5H5yQqdVJSK9VW5fxMUI4M
"Grey's Anatomy S15E19 - ""Silent All These Years""",https://www.tunefind.com/show/greys-anatomy/season-15/79466,2019-03-28,I Won't,Richard Walters,0d8ecVQ21crDPnkOmstmig
"Mindhunter S2E1 - ""Episode 1""",https://www.tunefind.com/show/mindhunter/season-2/87032,2019-08-16,In Every Dream Home a Heartache,Roxy Music,3Wkho6tesTh4aF80T6evqH
"The Morning Show S1E2 - ""A Seat at the Table""",https://www.tunefind.com/show/the-morning-show/season-1/92467,2019-11-01,Creep,Rozzi,4XWoFq5b67eHpFwxW9uK45
"Ballers S5E4 - ""Municipal""",https://www.tunefind.com/show/ballers-2015/season-5/90595,2019-09-15,You Were Right,RÜFÜS DU SOL,4ADsYu1V5CpFLXNve7iK4Z
"Euphoria S1E5 - ""'03 Bonnie and Clyde""",https://www.tunefind.com/show/euphoria/season-1/86086,2019-07-14,Run the Road,Santigold,3UyVG4yc9wc3rz3Trw1iHd
"Euphoria S1E1 - ""Pilot""",https://www.tunefind.com/show/euphoria/season-1/84701,2019-06-16,Brighter Tomorrow,Soul Swingers,2PmC1vcaY2n3mWsJktJv9S
"Euphoria S1E4 - ""Shook One Pt. II""",https://www.tunefind.com/show/euphoria/season-1/86006,2019-07-07,"I colori di dicembre (From ""Don'",The Bulgarian Symphony Orchestra,3cYNdDqNBEdUaHGZGGtfPy
"The Umbrella Academy S1E3 - ""Extra Ordinary""",https://www.tunefind.com/show/the-umbrella-academy/season-1/77471,2019-02-15,We're Through,The Hollies,1U5MA1a9ks3mnJXiFWH47r
"The Umbrella Academy S1E1 - ""We Only See Each Other at Weddings and Funerals""",https://www.tunefind.com/show/the-umbrella-academy/season-1/77469,2019-02-15,Picture Book (Stereo Mix),The Kinks,0p85tj9Uvo1CuHSfmAy4X3
"Euphoria S1E6 - ""The Next Episode""",https://www.tunefind.com/show/euphoria/season-1/86211,2019-07-21,Hot,The Last Artful & Dodgr,022vlOJzVAHTCMSbyEMEVt
"Grey's Anatomy S15E11 - ""The Winner Takes It All""",https://www.tunefind.com/show/greys-anatomy/season-15/76940,2019-01-31,Hold On,The Rescues,3TtCkRuu4MhZU9f6Bgyjqt
"Sex Education S1E3 - ""Episode 3""",https://www.tunefind.com/show/sex-education/season-1/75492,2019-01-11,This Is the Day,The The,5O7RVmqK3AYoFfyeafxOqH
"Euphoria S1E4 - ""Shook One Pt. II""",https://www.tunefind.com/show/euphoria/season-1/86006,2019-07-07,New Generation,The Universals,35dBml5K6yTShOa3h3lugq
"Marvel's The Punisher S2E8 - ""My Brother's Keeper""",https://www.tunefind.com/show/marvels-the-punisher/season-2/76878,2019-01-18,The Woods,The White Buffalo,1wVNX70jcDdQGedgZm0zRd
"The Umbrella Academy S1E1 - ""We Only See Each Other at Weddings and Funerals""",https://www.tunefind.com/show/the-umbrella-academy/season-1/77469,2019-02-15,Istanbul (Not Constantinople),They Might Be Giants,63vL5oxWrlvaJ0ayNaQnbX
"The Umbrella Academy S1E1 - ""We Only See Each Other at Weddings and Funerals""",https://www.tunefind.com/show/the-umbrella-academy/season-1/77469,2019-02-15,I Think We're Alone Now,Tiffany,1ZZjpzN6rrNDtXjgJJF7mt
"The Umbrella Academy S1E4 - ""Man on the Moon""",https://www.tunefind.com/show/the-umbrella-academy/season-1/77472,2019-02-15,Shingaling,Tom Swoon,7CbZtCJJmr54zVEg9bOOdJ
"The Umbrella Academy S1E6 - ""The Day That Wasn't""",https://www.tunefind.com/show/the-umbrella-academy/season-1/77474,2019-02-15,Dancing In the Moonlight (2001 R,Toploader,3Fzlg5r1IjhLk2qRw667od
"The Blacklist S6E2 - ""The Corsican""",https://www.tunefind.com/show/the-blacklist/season-6/75345,2019-01-04,Hard Times (feat. Congratulation,Vision Vision,5EO7tawMP5g2wjxdYfVBvJ
"The Umbrella Academy S1E2 - ""Run Boy Run""",https://www.tunefind.com/show/the-umbrella-academy/season-1/77470,2019-02-15,Run Boy Run,Woodkid,0boS4e6uXwp3zAvz1mLxZS
"Orange is the New Black S7E10 - ""The Thirteenth""",https://www.tunefind.com/show/orange-is-the-new-black/season-7/86470,2019-07-26,Welcome to Love,Young Ejecta,3tb9cwLuiNLxwxMWm8Qs3h
"Another Life S1E4 - ""Guilt Trip""",https://www.tunefind.com/show/another-life/season-1/86667,2019-07-25,Wiseblood (Johnny Jewel Remix),"Zola Jesus, Johnny Jewel",0jBkInmdxnmDJR8apuQDFc
