episode,song,artist,spotify_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,synced
"Grey's Anatomy S15E12 - ""Girlfriend in a Coma""",Stand By Me,Bootstraps,4UQazRVetaFi1TDKUojZFg,0.155,0.273,B,-13.273,TRUE,0.0319,0.661,0.611,0.0992,0.0815,82,4,YES
"Dark S2E3 - ""Gespenster""",Melody X,Bonaparte,5rZRM3Lf4eGsMpCDcOJ87C,0.61,0.508,"A♯,B♭",-7.9,TRUE,0.0386,0.664,0.322,0.0857,0.071,120,4,YES
"The Umbrella Academy S1E3 - ""Extra Ordinary""",Sinnerman,Nina Simone,6puDH4jNRgeRpMhzgMbO53,0.436,0.552,B,-12.838,FALSE,0.101,0.676,9.08E-06,0.0965,0.642,147,4,YES
"Euphoria S1E7 - ""The Trials and Tribulations of Trying to Pee While Depressed""",Be Mine,Amandla Stenberg,2x4LhG3gcVGIK5zuKl5bTJ,0.781,0.396,C,-11.661,TRUE,0.0732,0.687,0.014,0.0761,0.518,127,4,YES
N/A,Say You Won't Let Go,James Arthur,5uCax9HTNlzGybIStD3vD,0.358,0.557,"A♯,B♭",-7.398,NA,0.059,0.695,0,0.0902,0.494,85,4,NO
"The Handmaid's Tale S3E11 - ""Liars""",Cloudbusting,Kate Bush,5atQ2haKP5LT65WM0KUts3,0.68,0.248,"C♯,D♭",-17.465,FALSE,0.0328,0.696,8.88E-06,0.0839,0.812,112,4,YES
"Marvel's The Punisher S2E8 - ""My Brother's Keeper""",The Woods,The White Buffalo,1wVNX70jcDdQGedgZm0zRd,0.371,0.238,E,-11.746,FALSE,0.0297,0.702,0.0784,0.221,0.132,138,3,YES
"Sex Education S1E3 - ""Episode 3""",Every Feeling,Ezra Furman,0C2PTGRyAe4WxnMzqE2k1H,0.713,0.297,F,-10.508,TRUE,0.0344,0.718,5.00E-04,0.0833,0.228,112,4,YES
"The Good Doctor S2E17 - ""Breakdown""",Got It In You (Acoustic),BANNERS,4unF8ldGPeedLz8HRIvgxg,0.58,0.354,G,-5.722,TRUE,0.0419,0.725,0,0.118,0.214,72,4,YES
"Euphoria S1E7 - ""The Trials and Tribulations of Trying to Pee While Depressed""",When I R.I.P.,Labrinth,2t16D9V5FmmRAJjsSpwvZf,0.394,0.551,"G♯,A♭",-6.456,FALSE,0.213,0.73,0.00166,0.0907,0.451,79,1,YES
"The Umbrella Academy S1E4 - ""Man on the Moon""",This Year's Love,David Gray,1dQOMZz9SkT7ig0w65lQWC,0.33,0.167,"G♯,A♭",-11.635,TRUE,0.0311,0.731,3.08E-05,0.101,0.202,164,3,YES
"Euphoria S1E1 - ""Pilot""",Brighter Tomorrow,Soul Swingers,2PmC1vcaY2n3mWsJktJv9S,0.68,0.689,F,-6.248,TRUE,0.0388,0.788,0.000866,0.274,0.699,127,4,YES
"The Morning Show S1E2 - ""A Seat at the Table""",Creep,Rozzi,4XWoFq5b67eHpFwxW9uK45,0.406,0.216,A,-15.228,TRUE,0.0406,0.801,2.90E-05,0.115,0.111,180,3,YES
"Another Life S1E4 - ""Guilt Trip""",Wiseblood (Johnny Jewel Remix),"Zola Jesus, Johnny Jewel",0jBkInmdxnmDJR8apuQDFc,0.239,0.376,"A♯,B♭",-8.16,TRUE,0.0305,0.815,4.37E-05,0.0821,0.0953,112,4,YES
"Boomerang S1E6 - ""Homecoming""",Love You Too Much,Lucky Daye,4XjnaL1dDauhuvNFz1SLwW,0.399,0.473,"G♯,A♭",-11.375,FALSE,0.126,0.824,1.59E-05,0.117,0.278,117,5,YES
"Lucifer S4E1 - ""Everything's Okay""",The Beast,Old Caltone,75Xkf5nd2iGGFIWEYk4COu,0.239,0.285,C,-11.071,FALSE,0.0445,0.832,0.0163,0.203,0.0792,111,1,YES
"This is Us S3E13 - ""Our Little Island Girl""",Say a Little Prayer - Live,Lianne La Havas,1ZczOoLuCyDO5dKUPndxf5,0.492,0.326,E,-6.416,FALSE,0.0505,0.84,0,0.696,0.376,112,4,YES
"American Gods S2E1 - ""House on the Rock""",Everybody Walkin' This Land,Paul Cauthen,7LXLgoroFNCQQpMQt0tMA7,0.705,0.424,G,-8.459,TRUE,0.0412,0.842,0.00501,0.204,0.357,96,4,YES
"Dark S2E4 - ""Die Reisenden""",The World Retreats,David O'Dowda,6wL2rgm1Gf60jgZli5YJqs,0.517,0.256,B,-12.947,FALSE,0.03,0.843,0.305,0.0821,0.162,129,4,YES
"Dark S2E8 - ""Enden und Anfänge""",My Body Is a Cage,Peter Gabriel,4Gu1w7zBrDrRU4T2WHg1L5,0.341,0.114,"D♯,E♭",-12.903,TRUE,0.0342,0.851,0.0911,0.104,0.0797,79,4,YES
"Grey's Anatomy S15E22 - ""Head Over High Heels""",Say Something,Kadiatou,1cklFKuIR5cxSX0zSisF2p,0.393,0.146,D,-9.884,TRUE,0.0335,0.868,0,0.0983,0.0793,140,3,YES
"Euphoria S1E1 - ""Pilot""",Can't Get Used to Losing You,Andy Williams,41zpWL98BsYKP5nvtdTM5z,0.413,0.164,C,-14.579,TRUE,0.0378,0.914,1.40E-05,0.0883,0.845,183,4,YES
"Euphoria S1E1 - ""Pilot""",Forever,Labrinth,6potEImiklXkwD9qFzpu15,0.557,0.459,E,-7.781,FALSE,0.0321,0.919,0.722,0.11,0.189,79,4,YES
"Euphoria S1E4 - ""Shook One Pt. II""",In My Dreams,ANOHNI,4bldw7te0ETMwhn6HbPxDk,0.175,0.221,F,-24.627,FALSE,0.0561,0.926,0.937,0.105,0.214,136,3,YES
"Grey's Anatomy S15E19 - ""Silent All These Years""",Lost Without You,Freya Ridings,3cWI6Hj9LQ0MfMuhw9uSMc,0.386,0.136,"F♯,G♭",-9.267,TRUE,0.0458,0.932,0,0.0653,0.0976,67,3,YES
"The Umbrella Academy S1E5 - ""Number Five""","Symphony No. 7 in A major, Op. 9","Johannes Walter, European Festival Orchestra",3p8QDe40s3FI3aUQUxmDAk,0.245,0.0153,E,-27.22,FALSE,0.0397,0.934,0.197,0.082,0.0751,137,4,YES
"Game of Thrones S8E3 - ""The Long Night""",The Night King,Ramin Djawadi,1aDklx1GaBqHFowCzz63wU,0.182,0.0651,"A♯,B♭",-16.341,TRUE,0.0462,0.942,0.886,0.111,0.038,60,4,YES
"Game of Thrones S8E2 - ""A Knight of the Seven Kingdoms""",Jenny of Oldstones (Game of Thro,Florence + the Machine,2pyaTMZGVzZgSmxhgMM4gS,0.32,0.165,"C♯,D♭",-16.274,FALSE,0.0397,0.97,0.888,0.0705,0.0385,70,3,YES
"Euphoria S1E1 - ""Pilot""",Run Cried the Crawling,Agnes Obel,4w8i7d8Qw3Z0jkBhVS3F2I,0.502,0.337,"G♯,A♭",-14.775,TRUE,0.037,0.981,0.542,0.102,0.365,187,4,YES
"Dark S2E6 - ""Ein unendlicher Kreis""",Twisted Olive Branch,Asaf Avidan,2MJWpmJg51IlOPRZY6amTB,0.3,0.104,"C♯,D♭",-15.601,TRUE,0.0381,0.988,0.00665,0.0906,0.0403,78,4,YES
