episode,song,artist,spotify_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,synced
"Sex Education S1E2 - ""Episode 2""",Restless Year,Ezra Furman,7lKhRwHEPeGBhKeCcyXKGC,0.689,0.947,A,-4.099,TRUE,0.0706,0.0311,1.03E-05,0.119,0.489,94,4,YES
N/A,Glorious (feat. Skylar Grey),Macklemore,0CokSRCu5hZgPxcZBaEzV,0.731,0.794,C,-5.126,NA,0.0522,0.0323,0.000026,0.112,0.356,139,4,NO
N/A,Side To Side,Ariana Grande,4pLwZjInHj3SimIyN9SnO,0.648,0.738,"F♯,G♭",-5.883,NA,0.247,0.0408,0,0.292,0.603,159,4,NO
"Euphoria S1E8 - ""And Salt the Earth Behind You""",Dangerous (Oliver Remix),Big Data,3PVukkbEGmJGoyJG2lfBPP,0.853,0.821,F,-3.954,TRUE,0.0558,0.0433,0.0899,0.1,0.14,110,4,YES
N/A,Something Just Like This,The Chainsmokers,6RUKPb4LETWmmr3iAEQkt,0.617,0.635,B,-6.769,NA,0.0317,0.0498,0.000014,0.164,0.446,103,4,NO
N/A,Believer,Imagine Dragons,0CcQNd8CINkwQfe1RDtGV,0.779,0.787,"A♯,B♭",-4.305,NA,0.108,0.0524,0,0.14,0.708,124,4,NO
N/A,I'm the One,DJ Khaled,3DXncPQOG4VBw3QHh3S81,0.609,0.668,G,-4.284,NA,0.0367,0.0552,0,0.167,0.811,80,4,NO
N/A,Otra Vez (feat. J Balvin),Zion & Lennox,3QwBODjSEzelZyVjxPOHd,0.832,0.772,"A♯,B♭",-5.429,NA,0.1,0.0559,0.000486,0.44,0.704,96,4,NO
N/A,In the Name of Love,Martin Garrix,04DwTuZ2VBdJCCC5TROn7,0.49,0.485,E,-6.237,NA,0.0406,0.0592,0,0.337,0.196,133,4,NO
"The Umbrella Academy S1E6 - ""The Day That Wasn't""",Dancing In the Moonlight (2001 R,Toploader,3Fzlg5r1IjhLk2qRw667od,0.632,0.858,"A♯,B♭",-3.463,TRUE,0.035,0.0624,0,0.347,0.872,119,4,YES
N/A,I Don’t Wanna Live Forever (Fifty Shades Darke...,ZAYN,3NdDpSvN911VPGivFlV5d,0.735,0.451,C,-8.374,NA,0.0585,0.0631,0.000013,0.325,0.0862,117,4,NO
"The Umbrella Academy S1E5 - ""Number Five""",Happy Together (feat. Ray Toro),"Gerard Way, Ray Toro",0n0XAmYCMWlzj3W9VdMejw,0.621,0.816,G,-4.077,TRUE,0.0316,0.0695,0.00559,0.103,0.716,122,4,YES
N/A,Galway Girl,Ed Sheeran,0afhq8XCExXpqazXczTSv,0.624,0.876,A,-3.374,NA,0.1,0.0735,0,0.327,0.781,99,4,NO
N/A,Cold Water (feat. Justin Bieber & MØ),Major Lazer,6DNtNfH8hXkqOX1sjqmI7,0.608,0.798,"F♯,G♭",-5.092,NA,0.0432,0.0736,0,0.156,0.501,92,4,NO
N/A,Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo,6kex4EBAj0WHXDKZMEJaa,0.696,0.817,"C♯,D♭",-3.862,NA,0.109,0.075,0,0.187,0.782,98,4,NO
N/A,Malibu,Miley Cyrus,1UZOjK1BwmwWU14Erba9C,0.573,0.781,"G♯,A♭",-6.406,NA,0.0555,0.0767,0.000026,0.0813,0.343,139,4,NO
"Mindhunter S2E1 - ""Episode 1""",In Every Dream Home a Heartache,Roxy Music,3Wkho6tesTh4aF80T6evqH,0.182,0.539,"A♯,B♭",-10.839,FALSE,0.0799,0.0781,0.000101,0.212,0.413,69,4,YES
"The Umbrella Academy S1E1 - ""We Only See Each Other at Weddings and Funerals""",Istanbul (Not Constantinople),They Might Be Giants,63vL5oxWrlvaJ0ayNaQnbX,0.688,0.748,F,-9.39,FALSE,0.0377,0.0801,0.00453,0.136,0.892,114,4,YES
"The Umbrella Academy S1E2 - ""Run Boy Run""",Run Boy Run,Woodkid,0boS4e6uXwp3zAvz1mLxZS,0.506,0.959,F,-5.264,FALSE,0.102,0.084,0.000655,0.135,0.34,133,4,YES
N/A,goosebumps,Travis Scott,6gBFPUFcJLzWGx4lenP6h,0.841,0.728,G,-3.37,NA,0.0484,0.0847,0,0.149,0.43,130,4,NO
N/A,Scared to Be Lonely,Martin Garrix,3ebXMykcMXOcLeJ9xZ17X,0.584,0.54,"C♯,D♭",-7.786,NA,0.0576,0.0895,0,0.261,0.195,137,4,NO
N/A,Attention,Charlie Puth,4iLqG9SeJSnt0cSPICSjx,0.774,0.626,"D♯,E♭",-4.432,NA,0.0432,0.0969,0.000031,0.0848,0.777,100,4,NO
N/A,Dusk Till Dawn - Radio Edit,ZAYN,1j4kHkkpqZRBwE0A4CN4Y,0.258,0.437,B,-6.593,NA,0.039,0.101,0.000001,0.106,0.0967,180,4,NO
N/A,Now Or Never,Halsey,7i2DJ88J7jQ8K7zqFX2fW,0.658,0.588,"F♯,G♭",-4.902,NA,0.0367,0.105,0.000001,0.125,0.434,110,4,NO
"The Blacklist S6E2 - ""The Corsican""",Hard Times (feat. Congratulation,Vision Vision,5EO7tawMP5g2wjxdYfVBvJ,0.643,0.545,"F♯,G♭",-7.413,FALSE,0.0358,0.107,0,0.179,0.222,93,4,YES
"Lucifer S4E1 - ""Everything's Okay""",My Style,Beginners,1CtQeUBqOzqeLWV1iz3Ly1,0.967,0.729,G,-5.473,TRUE,0.0605,0.115,0.00569,0.0605,0.616,110,4,YES
"Power S6E1 - ""Murderers""",R.A.N.,Miguel,1kbGBcmr0vrs3hnpMbPCYd,0.538,0.626,F,-8.272,TRUE,0.0455,0.115,1.00E-05,0.137,0.241,132,4,YES
N/A,Cold (feat. Future),Maroon 5,21TdkDRXuAB3k90ujRU1e,0.697,0.716,A,-6.288,NA,0.113,0.118,0,0.0424,0.506,99,4,NO
"Euphoria S1E1 - ""Pilot""",I Know There's Gonna Be (Good Ti,"Jamie xx, Young Thug, Popcaan",2zsa7Z6gCA5eBg0p9pbyLs,0.564,0.594,B,-9.912,FALSE,0.155,0.119,0,0.536,0.507,89,4,YES
N/A,It Ain't Me (with Selena Gomez),Kygo,3eR23VReFzcdmS7TYCrhC,0.64,0.533,C,-6.596,NA,0.0706,0.119,0,0.0864,0.515,99,4,NO
N/A,There for You,Martin Garrix,6jA8HL9i4QGzsj6fjoxp8,0.611,0.644,"F♯,G♭",-7.607,NA,0.0553,0.124,0,0.124,0.13,105,4,NO
"Sex Education S1E1 - ""Episode 1""",I’m Coming Clean,Ezra Furman,5Ubqbm1quUOpXy0cRMOVmP,0.554,0.635,A,-4.988,TRUE,0.0293,0.126,0.000151,0.0765,0.354,70,4,YES
"Trinkets (aka Gatunas) S1E6 - ""Rearview Mirror""",King of Shadow,Kat Cunning,5gvNoZjNliTlO4H2H3D0hn,0.591,0.547,D,-8.596,FALSE,0.0284,0.126,0,0.174,0.253,116,4,YES
"Dark S2E7 - ""Der weiße Teufel""",God's Whisper,Raury,5H5yQqdVJSK9VW5fxMUI4M,0.617,0.535,A,-10.07,FALSE,0.0319,0.129,0.274,0.1,0.461,144,3,YES
"Euphoria S1E6 - ""The Next Episode""",Hot,The Last Artful & Dodgr,022vlOJzVAHTCMSbyEMEVt,0.746,0.402,"C♯,D♭",-6.666,TRUE,0.0329,0.13,0.000196,0.125,0.245,108,3,YES
"Orange is the New Black S7E10 - ""The Thirteenth""",Welcome to Love,Young Ejecta,3tb9cwLuiNLxwxMWm8Qs3h,0.676,0.362,F,-8.249,TRUE,0.0664,0.13,0.0772,0.133,0.475,180,4,YES
N/A,Weak,AJR,3E2Zh20GDCR9B1EYjfXWy,0.673,0.637,F,-4.518,NA,0.0429,0.137,0,0.184,0.678,123,4,NO
"Lucifer S4E10 - ""Who's da New King of Hell?""",Hallelujah,FVR DRMS,02HDCt2AGoq5WMiCe5YZ9K,0.495,0.399,"A♯,B♭",-11.45,TRUE,0.0361,0.142,0.000501,0.0978,0.201,111,4,YES
